order_id,user_id,product_id,quantity,unit_price,order_ts,status,event_date
1,65.0,,5,94.04,not-a-timestamp,CANCELLED,2026-02-08
2,30.0,23.0,3,37.79,2026-02-05 08:09:57,PAID,2026-02-05
3,22.0,7.0,4,24.08,2026-02-07 10:43:56,PAID,2026-02-07
4,60.0,8.0,1,16.87,2026-02-07 18:21:19,PAID,2026-02-07
5,9.0,21.0,4,96.74,2026-02-01 17:31:13,PAID,2026-02-01
6,46.0,5.0,2,111.91,2026-02-01 10:56:21,PAID,2026-02-01
7,4.0,1.0,3,67.9,2026-02-03 23:48:27,PAID,2026-02-03
8,38.0,30.0,1,37.49,2026-02-04 22:36:32,PAID,2026-02-04
9,20.0,15.0,2,63.71,2026-02-05 17:47:30,PAID,2026-02-05
10,64.0,28.0,1,59.7,2026-02-02 07:07:09,PAID,2026-02-02
11,71.0,20.0,4,45.6,2026-02-05 17:45:59,CANCELLED,2026-02-05
12,13.0,19.0,1,94.76,2026-02-05 15:55:50,PAID,2026-02-05
13,1.0,6.0,1,43.07,2026-02-03 15:48:34,PAID,2026-02-03
14,8.0,2.0,4,85.01,2026-02-01 11:59:38,PAID,2026-02-01
15,31.0,8.0,3,82.23,2026-02-01 02:46:44,PAID,2026-02-01
16,,27.0,5,12.43,2026-02-04 11:54:21,PAID,2026-02-04
17,78.0,29.0,5,35.28,2026-02-07 17:42:29,PAID,2026-02-07
18,5.0,,3,-84.38,2026-02-05 06:06:10,PAID,2026-02-05
19,49.0,24.0,3,56.14,2026-02-08 05:41:37,REFUNDED,2026-02-08
20,10.0,7.0,3,54.15,2026-02-08 22:20:27,CANCELLED,2026-02-08
21,4.0,9.0,2,94.71,2026-02-02 05:21:50,PAID,2026-02-02
22,16.0,29.0,3,11.53,2026-02-02 13:53:30,PAID,2026-02-02
23,71.0,28.0,5,18.91,2026-02-04 11:33:55,PAID,2026-02-04
24,40.0,15.0,1,15.76,2026-02-02 05:23:48,CANCELLED,2026-02-02
25,46.0,22.0,2,49.55,2026-02-03 21:53:59,CANCELLED,2026-02-03
26,11.0,6.0,4,24.34,2026-02-04 17:00:19,PAID,2026-02-04
27,51.0,9.0,5,87.15,2026-02-04 18:42:12,PAID,2026-02-04
28,3.0,22.0,3,106.23,2026-02-03 13:44:23,PAID,2026-02-03
29,20.0,6.0,5,30.57,2026-02-06 10:46:25,PAID,2026-02-06
30,56.0,23.0,3,13.58,2026-02-03 14:58:08,PAID,2026-02-03
31,40.0,23.0,0,9.1,2026-02-07 09:00:44,PAID,2026-02-07
32,61.0,20.0,2,78.94,2026-02-06 04:50:56,PAID,2026-02-06
33,20.0,22.0,2,94.94,2026-02-04 15:57:10,PAID,2026-02-04
34,53.0,28.0,5,102.19,2026-02-02 02:41:14,REFUNDED,2026-02-02
35,78.0,23.0,5,113.51,2026-02-06 12:15:02,CANCELLED,2026-02-06
36,71.0,16.0,2,97.92,2026-02-08 20:42:42,PAID,2026-02-08
